success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,stimulus,response,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,view_history,type,Congruency,letter,webgazer_data,webgazer_targets,correct
,html-keyboard-response,35,95310,0.0-12.0-1.7,H_a97w8r2xm921u6y,567.4250000156462,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;""><p class=""stimulus"" style=""color:rgb(255,0,0);"">Red</p></div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",arrowleft,,,,,,,,practice trial,Con,ArrowLeft,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,36,95718,0.0-12.0-2.7,H_a97w8r2xm921u6y,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">Correct!</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,,,,,,
,html-keyboard-response,37,97489,0.0-12.0-0.8,H_a97w8r2xm921u6y,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">+</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,fixation,,,,,
,html-keyboard-response,38,98329,0.0-12.0-1.8,H_a97w8r2xm921u6y,838.3649999741465,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;""><p class=""stimulus"" style=""color:rgb(0,255,0);"">Red</p></div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",arrowdown,,,,,,,,practice trial,Incon,ArrowDown,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,39,98752,0.0-12.0-2.8,H_a97w8r2xm921u6y,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">Correct!</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,,,,,,
,html-keyboard-response,40,99512,0.0-13.0,H_a97w8r2xm921u6y,757.8999999677762,<p>You responded correctly on <strong>100%</strong> of the 9 trials.</p> <p>Press any key to continue.</p>,arrowright,,,,,,,,,,,,,
,instructions,41,99902,0.0-15.0,H_a97w8r2xm921u6y,388.6250000214204,,,,,,,,,[object Object],,,,,,
,html-keyboard-response,42,100196,0.0-16.0-0.0,H_a97w8r2xm921u6y,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,43,101195,0.0-16.0-1.0,H_a97w8r2xm921u6y,998.6149999313056,"<div style = ""margin-top:372px ; margin-left:697px"" ><p class=""stimulus"" style=""color:rgb(0,0,255);font-size:70px;"">Green</p>",arrowright,,,,,,,,test trial,Incon,ArrowRight,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,44,101555,0.0-16.0-0.1,H_a97w8r2xm921u6y,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
