success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,stimulus,response,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,view_history,type,Congruency,letter,webgazer_data,webgazer_targets,correct
,html-keyboard-response,38,118782,0.0-12.0-1.8,Harsh_pcv47lw7uuykddj,1195.3150000190362,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;""><p class=""stimulus"" style=""color:rgb(255,0,0);"">Blue</p></div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",arrowleft,,,,,,,,practice trial,Incon,ArrowLeft,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,39,119192,0.0-12.0-2.8,Harsh_pcv47lw7uuykddj,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">Correct!</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,,,,,,
,html-keyboard-response,40,121363,0.0-13.0,Harsh_pcv47lw7uuykddj,2170.369999948889,<p>You responded correctly on <strong>78%</strong> of the 9 trials.</p> <p>Press any key to continue.</p>, ,,,,,,,,,,,,,
,instructions,41,124080,0.0-15.0,Harsh_pcv47lw7uuykddj,2714.7750000003725,,,,,,,,,[object Object],,,,,,
,html-keyboard-response,42,124350,0.0-16.0-0.0,Harsh_pcv47lw7uuykddj,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,43,125868,0.0-16.0-1.0,Harsh_pcv47lw7uuykddj,1515.830000047572,"<div style = ""margin-top:-311px ; margin-left:-624px"" ><p class=""stimulus"" style=""color:rgb(0,255,0);font-size:70px;"">Red</p>",arrowdown,,,,,,,,test trial,Incon,ArrowDown,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,44,127178,0.0-16.0-0.1,Harsh_pcv47lw7uuykddj,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,45,130168,0.0-16.0-1.1,Harsh_pcv47lw7uuykddj,2988.219999941066,"<div style = ""margin-top:256px ; margin-left:726px"" ><p class=""stimulus"" style=""color:rgb(255,0,0);font-size:70px;"">Green</p>",arrowdown,,,,,,,,test trial,Incon,ArrowLeft,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],false
,html-keyboard-response,46,130470,0.0-16.0-0.2,Harsh_pcv47lw7uuykddj,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,47,131841,0.0-16.0-1.2,Harsh_pcv47lw7uuykddj,1370.6100000999868,"<div style = ""margin-top:111px ; margin-left:110px"" ><p class=""stimulus"" style=""color:rgb(255,0,0);font-size:70px;"">Red</p>",arrowleft,,,,,,,,test trial,Con,ArrowLeft,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,48,133862,0.0-16.0-0.3,Harsh_pcv47lw7uuykddj,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,49,136928,0.0-16.0-1.3,Harsh_pcv47lw7uuykddj,,"<div style = ""margin-top:-332px ; margin-left:804px"" ><p class=""stimulus"" style=""color:rgb(0,0,255);font-size:70px;"">Green</p>",,,,,,,,,test trial,Incon,ArrowRight,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],false
,html-keyboard-response,50,138712,0.0-16.0-0.4,Harsh_pcv47lw7uuykddj,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,51,139504,0.0-16.0-1.4,Harsh_pcv47lw7uuykddj,790.7750000013039,"<div style = ""margin-top:150px ; margin-left:-21px"" ><p class=""stimulus"" style=""color:rgb(255,0,0);font-size:70px;"">Blue</p>",arrowleft,,,,,,,,test trial,Incon,ArrowLeft,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,52,140792,0.0-16.0-0.5,Harsh_pcv47lw7uuykddj,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,53,142938,0.0-16.0-1.5,Harsh_pcv47lw7uuykddj,2144.925000029616,"<div style = ""margin-top:-312px ; margin-left:153px"" ><p class=""stimulus"" style=""color:rgb(0,255,0);font-size:70px;"">Blue</p>",arrowdown,,,,,,,,test trial,Incon,ArrowDown,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,54,144718,0.0-16.0-0.6,Harsh_pcv47lw7uuykddj,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,55,147162,0.0-16.0-1.6,Harsh_pcv47lw7uuykddj,2441.690000006929,"<div style = ""margin-top:266px ; margin-left:354px"" ><p class=""stimulus"" style=""color:rgb(0,0,255);font-size:70px;"">Blue</p>",arrowright,,,,,,,,test trial,Con,ArrowRight,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,56,147664,0.0-16.0-0.7,Harsh_pcv47lw7uuykddj,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,57,149763,0.0-16.0-1.7,Harsh_pcv47lw7uuykddj,2097.444999963045,"<div style = ""margin-top:201px ; margin-left:-579px"" ><p class=""stimulus"" style=""color:rgb(0,0,255);font-size:70px;"">Red</p>",arrowright,,,,,,,,test trial,Incon,ArrowRight,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,58,150769,0.0-16.0-0.8,Harsh_pcv47lw7uuykddj,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,59,152565,0.0-16.0-1.8,Harsh_pcv47lw7uuykddj,1794.8949999408796,"<div style = ""margin-top:-152px ; margin-left:-767px"" ><p class=""stimulus"" style=""color:rgb(0,255,0);font-size:70px;"">Green</p>",arrowdown,,,,,,,,test trial,Con,ArrowDown,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,60,154277,0.0-17.0,Harsh_pcv47lw7uuykddj,1710.5950000695884,"<div style=""width: 800px;""><p>Well done!!.</p> <p>Press any key to move to Task-2 ..</p></div>", ,,,,,,,,,,,,,
,html-button-response,61,155794,0.0-18.0,Harsh_pcv47lw7uuykddj,1515.474999905564,"<div style=""width: 800px; padding: 50px; border-radius: 10px ;background-color: #fff1f1""><p style=""font-size:20px"">Welcome to the Task 2:</p><h1>Continuous Performance Task</h1>",0,,,,,,,,,,,,,
,html-button-response,62,157013,0.0-19.0,Harsh_pcv47lw7uuykddj,1216.0750000039116,"<div style=""width: 800px;border: thin solid #ec7b7b ; border-radius: 10px ; padding: 10px""><p>This task will test your ability to hold information in short-term, temporary memory.</p><p>This is called working memory.</p></div>",0,,,,,,,,,,,,,
,html-button-response,63,158795,0.0-20.0,Harsh_pcv47lw7uuykddj,1779.7649999847636,"<div style=""width: 800px;border: thin solid #ec7b7b ; border-radius: 10px ; padding: 10px"">
        	<ol>
        	<li style=""text-align:left; padding:8px; font-size: 18px"">You will see a sequence of letters presented one at a time. Your task is to determine if the letter on the screen is the same that appeared on the last screen.</li>
        	<li style=""text-align:left; padding:8px; font-size: 18px"">If the letter is a match <span style=""font-weight: bold;"">press the M key.</li>
        	<li style=""text-align:left; padding:8px; font-size: 18px"">For example, if you saw the sequence X, C, C, B, B, X you would press the M key when the second C appeared and similarly when the second B appeared on the screen.</li>
        	<li style=""text-align:left; padding:8px; font-size: 18px"">You do not need to press any key when there is not a match.</li>
        	</ol></div>",0,,,,,,,,,,,,,
,html-button-response,64,160532,0.0-21.0,Harsh_pcv47lw7uuykddj,1736.5849999478087,"<div style=""width: 800px;border: thin solid #ec7b7b ; border-radius: 10px ;padding: 10px""><p>The sequence will begin on the next screen.</p><p>This is a practice trial. Lets see how focused you are.</p><p>Remember: press the M key if a letter appears on simultaneous screens.</p></div>",0,,,,,,,,,,,,,
,html-keyboard-response,65,163093,0.0-22.0-0.0,Harsh_pcv47lw7uuykddj,,"<div style = ""centre"" ><span style=""font-size: 96px;"">Z</span></div>",,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,66,165171,0.0-22.0-0.1,Harsh_pcv47lw7uuykddj,1182.1050000144169,"<div style = ""centre"" ><span style=""font-size: 96px;"">V</span></div>",m,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],false
,html-keyboard-response,67,167303,0.0-22.0-0.2,Harsh_pcv47lw7uuykddj,885.9200000297278,"<div style = ""centre"" ><span style=""font-size: 96px;"">V</span></div>",m,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,68,169431,0.0-22.0-0.3,Harsh_pcv47lw7uuykddj,1268.819999997504,"<div style = ""centre"" ><span style=""font-size: 96px;"">V</span></div>",m,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,69,171733,0.0-22.0-0.4,Harsh_pcv47lw7uuykddj,,"<div style = ""centre"" ><span style=""font-size: 96px;"">C</span></div>",,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,70,173874,0.0-22.0-0.5,Harsh_pcv47lw7uuykddj,,"<div style = ""centre"" ><span style=""font-size: 96px;"">C</span></div>",,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],false
,html-keyboard-response,71,175968,0.0-22.0-0.6,Harsh_pcv47lw7uuykddj,812.6299999421462,"<div style = ""centre"" ><span style=""font-size: 96px;"">C</span></div>",m,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,72,178076,0.0-22.0-0.7,Harsh_pcv47lw7uuykddj,1129.3700000969693,"<div style = ""centre"" ><span style=""font-size: 96px;"">C</span></div>",m,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,73,180159,0.0-22.0-0.8,Harsh_pcv47lw7uuykddj,,"<div style = ""centre"" ><span style=""font-size: 96px;"">X</span></div>",,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,74,182263,0.0-22.0-0.9,Harsh_pcv47lw7uuykddj,,"<div style = ""centre"" ><span style=""font-size: 96px;"">C</span></div>",,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-button-response,75,184506,0.0-23.0,Harsh_pcv47lw7uuykddj,1709.2699999921024,"<div style='width:800px;'><p>All done!</p><p>You correctly identified 4 of the 5 matching items.</p><p>You incorrectly identified 1 of the 4 non-matching items as matches.</p><strong>Let's move to the actual test.</strong><p style = 'color:rgb(255,150,100)'>Words might appear anywhere on the screen</p>",0,,,,,,,,,,,,,
,html-keyboard-response,76,186102,0.0-24.0-0.0,Harsh_pcv47lw7uuykddj,,"<div style = ""margin-top:-311px ; margin-left:246px"" ><span style=""font-size: 96px;"">C</span></div>",,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,77,188208,0.0-24.0-0.1,Harsh_pcv47lw7uuykddj,,"<div style = ""margin-top:-306px ; margin-left:-4px"" ><span style=""font-size: 96px;"">Z</span></div>",,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,78,190340,0.0-24.0-0.2,Harsh_pcv47lw7uuykddj,637.7450000727549,"<div style = ""margin-top:-319px ; margin-left:-549px"" ><span style=""font-size: 96px;"">Z</span></div>",m,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
