success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,stimulus,response,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,view_history,type,Congruency,letter,webgazer_data,webgazer_targets,correct
,html-keyboard-response,17,84209,0.0-12.0-1.1,H_6yl0bbw8ezrr1uz,567.3049999750219,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;""><p class=""stimulus"" style=""color:rgb(255,0,0);"">Red</p></div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",arrowleft,,,,,,,,practice trial,Con,ArrowLeft,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,18,84611,0.0-12.0-2.1,H_6yl0bbw8ezrr1uz,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">Correct!</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,,,,,,
,html-keyboard-response,19,86160,0.0-12.0-0.2,H_6yl0bbw8ezrr1uz,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">+</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,fixation,,,,,
,html-keyboard-response,20,86958,0.0-12.0-1.2,H_6yl0bbw8ezrr1uz,796.440000005532,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;""><p class=""stimulus"" style=""color:rgb(255,0,0);"">Green</p></div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",arrowleft,,,,,,,,practice trial,Incon,ArrowLeft,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,21,87410,0.0-12.0-2.2,H_6yl0bbw8ezrr1uz,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">Correct!</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,,,,,,
,html-keyboard-response,22,88925,0.0-12.0-0.3,H_6yl0bbw8ezrr1uz,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">+</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,fixation,,,,,
,html-keyboard-response,23,89672,0.0-12.0-1.3,H_6yl0bbw8ezrr1uz,744.8749999748543,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;""><p class=""stimulus"" style=""color:rgb(0,255,0);"">Green</p></div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",arrowdown,,,,,,,,practice trial,Con,ArrowDown,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,24,90077,0.0-12.0-2.3,H_6yl0bbw8ezrr1uz,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">Correct!</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,,,,,,
,html-keyboard-response,25,91616,0.0-12.0-0.4,H_6yl0bbw8ezrr1uz,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">+</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,fixation,,,,,
,html-keyboard-response,26,92310,0.0-12.0-1.4,H_6yl0bbw8ezrr1uz,692.4450000515208,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;""><p class=""stimulus"" style=""color:rgb(0,255,0);"">Red</p></div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",arrowdown,,,,,,,,practice trial,Incon,ArrowDown,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,27,92712,0.0-12.0-2.4,H_6yl0bbw8ezrr1uz,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">Correct!</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,,,,,,
,html-keyboard-response,28,94463,0.0-12.0-0.5,H_6yl0bbw8ezrr1uz,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">+</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,fixation,,,,,
,html-keyboard-response,29,95074,0.0-12.0-1.5,H_6yl0bbw8ezrr1uz,609.119999979157,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;""><p class=""stimulus"" style=""color:rgb(255,0,0);"">Blue</p></div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",arrowleft,,,,,,,,practice trial,Incon,ArrowLeft,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,30,95504,0.0-12.0-2.5,H_6yl0bbw8ezrr1uz,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">Correct!</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,,,,,,
,html-keyboard-response,31,96263,0.0-12.0-0.6,H_6yl0bbw8ezrr1uz,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">+</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,fixation,,,,,
